6949_1#7,6823_5#17,6823_3#15,6805_6#13,6938_5#21,6938_5#22,6680_6#14,6731_4#6,6664_1#9,6680_7#5,6753_4#9,6983_5#6,6630_3#20,6983_5#10,6823_6#15,6899_7#2,6983_8#75,6925_6#19,6925_8#5,6983_7#70,7004_8#85,6731_5#6,6736_5#3,6938_3#26,6823_6#11,6259_7#2,6259_7#22,6755_3#7,6823_6#22,6805_7#2,6730_8#6,6823_1#14,6755_5#7,6899_4#17,6972_3#24,6938_8#2,6805_7#20,6823_6#8,6823_6#7,6710_7#2,7004_5#12,6755_6#20,6807_3#2,6807_1#6,6631_6#9,6823_2#16,7092_6#11
6805_7#20,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,11.7482503499299,6.90441911617692,7.97100579884029,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_6#8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,2.83743251349739,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_6#7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2.83743251349739,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6710_7#2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,9.76344731053789,Inf,Inf,Inf,Inf,Inf,Inf
7004_5#12,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,9.76344731053789,0,Inf,Inf,Inf,Inf,Inf,Inf
6755_6#20,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,6.73325334933027,6.14837032593479,9.51509698060375,15.622875424915,10.617276544691
6807_3#2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.73325334933027,0,4.618476304739,11.9836032793439,18.0913817236551,13.0857828434312
6807_1#6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.14837032593479,4.618476304739,0,11.3987202559486,17.5064987002599,12.5008998200358
6631_6#9,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,9.51509698060375,11.9836032793439,11.3987202559486,0,11.9426114777044,6.93701259748074
6823_2#16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,15.622875424915,18.0913817236551,17.5064987002599,11.9426114777044,0,5.00559888022389
7092_6#11,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,10.617276544691,13.0857828434312,12.5008998200358,6.93701259748074,5.00559888022389,0
